日期,距离,用时,平均配速,消耗热量,平均心率,步频,步幅,当月次数,当月总跑量,当年次数,当年总跑量,备注,,,,,,,,,,,,,,,
2019/11/10,10.69,1:17:01,0:07:12,1155,179,163,75,,,,,2019北京摇滚马拉松，奥森,,,,,,,,,,,,,,,
2019/11/15,5.01,0:36:53,0:07:22,370,141,172,78,,,,,室内,,,,,,,,,,,,,,,
2019/11/16,10,1:16:37,0:07:40,922,152,171,69,,,,,,,,,,,,,,,,,,,,
2019/11/19,6.81,0:59:20,0:08:43,462,153,161,84,,,,,室内，倒金字塔321,,,,,,,,,,,,,,,
2019/11/21,5.45,0:48:27,0:08:53,542,160,169,67,,,,,室内，倒金字塔321,,,,,,,,,,,,,,,
2019/11/24,10.01,1:17:07,0:07:42,948,154,154,68,,,,,,,,,,,,,,,,,,,,
2019/11/26,6.05,0:41:59,0:06:56,457,170,172,77,,,,,倒金字塔321，时间分别为24分14秒，12分6秒，5分39秒,,,,,,,,,,,,,,,
2019/11/29,6.01,0:43:38,0:07:16,518,165,167.8333333,73.66666667,,,,,倒金字塔321，时间分别为23分40秒，14分1秒，5分57秒,,,,,,,,,,,,,,,
2019/12/1,10,1:13:13,0:07:19,912,156,173,66,14,115.32,,,,,,,,,,,,,,,,,,
2019/12/3,6.01,0:43:08,0:07:11,437,0,184.8333333,75.38434308,,,,,倒金字塔321，时间分别为23分30秒，13分46秒，5分52秒,,,,,,,,,,,,,,,
2019/12/6,6.01,0:42:32,0:07:05,443,0,181.6666667,77.78033419,,,,,倒金字塔321，时间分别为23分15秒，13分31秒，5分55秒,,,,,,,,,,,,,,,
2019/12/8,10.01,1:12:25,0:07:14,761,0,185,74.71775573,,,,,,,,,,,,,,,,,,,,
2019/12/10,6.04,0:42:08,0:06:59,478,0,181.6666667,78.91069562,,,,,倒金字塔321，时间分别为23分03秒，13分22秒，5分43秒,,,,,,,,,,,,,,,
2019/12/12,6.05,0:41:55,0:06:56,500,0,178.5,80.85938153,,,,,倒金字塔321，时间分别为22分50秒，13分27秒，5分27秒,,,,,,,,,,,,,,,
2019/12/14,11,1:22:30,0:07:30,777,0,184.0909091,72.42798354,,,,,,,,,,,,,,,,,,,,
2019/12/17,7,0:48:57,0:07:00,536,0,185,77.2989537,,,,,,,,,,,,,,,,,,,,
2019/12/19,6,0:39:00,0:06:30,457,0,190,80.97165992,,,,,,,,,,,,,,,,,,,,
2019/12/21,12,1:26:27,0:07:12,900,0,185,75.03165398,,,,,,,,,,,,,,,,,,,,
2019/12/24,8.03,0:55:56,0:06:58,665,0,183,78.45014557,,,,,,,,,,,,,,,,,,,,
2019/12/26,6,0:38:49,0:06:28,496,0,190,81.35409369,,,,,,,,,,,,,,,,,,,,
2019/12/29,13.14,1:31:24,0:06:57,1090,0,185,77.71009522,,,,,,,,,,,,,,,,,,,,
2019/12/31,8.03,0:53:21,0:06:39,662,0,186,80.92229243,,,,,,,,,,,,,,,,,,,,
2020/1/2,6,0:38:40,0:06:27,494,0,188,82.53851798,11,116.87,266,116.87,,,,,,,,,,,,,,,,
2020/1/5,14,1:37:32,0:06:58,1160,0,181,79.30423749,,,,,,,,,,,,,,,,,,,,
2020/1/6,9,1:02:50,0:06:59,747,0,183,78.27107884,,,,,,,,,,,,,,,,,,,,
2020/1/9,6,0:38:48,0:06:28,496,0,189,81.81966945,,,,,,,,,,,,,,,,,,,,
2020/1/11,15,1:44:38,0:06:59,1244,0,183,78.33757227,,,,,,,,,,,,,,,,,,,,
2020/1/14,10,1:09:47,0:06:59,830,0,183,78.30638941,,,,,,,,,,,,,,,,,,,,
2020/1/16,6.03,0:38:46,0:06:26,496,0,183,84.99781515,,,,,,,,,,,,,,,,,,,,
2020/1/18,16.02,1:51:57,0:06:59,1327,0,182,78.62615277,,,,,,,,,,,,,,,,,,,,
2020/1/20,10.01,1:09:49,0:06:58,776,159,184,77.92147135,,,,,,,,,,,,,,,,,,,,
2020/1/27,10,1:09:55,0:07:00,833,169,184,77.73228999,,,,,,,,,,,,,,,,,,,,
2020/1/30,14.81,1:43:31,0:06:59,1252,172,184,77.75475489,,,,,,,,,,,,,,,,,,,,
2020/1/31,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/25,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/26,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/27,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/28,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/29,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/25,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/26,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/27,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/28,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/29,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/30,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/31,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
